country,year,ufive5
bra,2017,2.7115042209625244
brb,2000,0.0
brb,2001,0.0
brb,2002,0.0
brb,2003,0.0
brb,2004,0.0
brb,2005,0.0
brb,2006,0.0
brb,2007,0.0
brb,2008,0.0
brb,2009,0.0
brb,2010,0.0
brb,2011,0.0
brb,2012,0.0
brb,2013,0.0
brb,2014,0.0
brb,2015,0.0
brb,2016,0.0
brb,2017,0.0
brn,2000,0.0
brn,2001,0.0
brn,2002,0.5263826847076416
brn,2003,0.5227272510528564
brn,2004,0.518796980381012
brn,2005,0.0
brn,2006,0.0
brn,2007,0.0
brn,2008,0.0
brn,2009,0.0
brn,2010,0.0
brn,2011,0.0
brn,2012,0.0
brn,2013,0.0
brn,2014,0.0
brn,2015,0.0
brn,2016,0.0
brn,2017,0.0
btn,2000,6.325448989868164
btn,2001,5.265445709228516
btn,2002,4.282557010650635
btn,2003,3.6587116718292236
btn,2004,3.2175850868225098
btn,2005,2.853855848312378
btn,2006,2.513921022415161
btn,2007,2.191704750061035
btn,2008,1.8612513542175293
btn,2009,1.6064759492874146
btn,2010,1.3983525037765503
btn,2011,1.2617491483688354
btn,2012,1.1703182458877563
btn,2013,1.0936880111694336
btn,2014,0.98649001121521
btn,2015,0.8856726884841919
btn,2016,0.7990338802337646
btn,2017,0.7645657062530518
bwa,2000,9.606057167053223
bwa,2001,9.766924858093262
bwa,2002,10.286370277404785
bwa,2003,10.832792282104492
bwa,2004,11.542183876037598
bwa,2005,12.225844383239746
bwa,2006,12.633718490600586
bwa,2007,12.574007034301758
bwa,2008,12.070578575134277
bwa,2009,11.272181510925293
bwa,2010,10.60446834564209
bwa,2011,10.04983901977539
bwa,2012,9.566898345947266
bwa,2013,9.027619361877441
bwa,2014,8.48447036743164
bwa,2015,7.913695335388184
bwa,2016,7.300868988037109
bwa,2017,7.044422149658203
caf,2000,460.9811096191406
caf,2001,462.64520263671875
caf,2002,456.8872375488281
caf,2003,454.2079162597656
caf,2004,448.4458312988281
caf,2005,443.5655822753906
caf,2006,429.212646484375
caf,2007,387.5639343261719
caf,2008,308.2460021972656
caf,2009,252.74295043945312
caf,2010,236.63710021972656
caf,2011,255.7931365966797
caf,2012,280.71051025390625
caf,2013,291.60986328125
caf,2014,281.86572265625
caf,2015,265.0860595703125
caf,2016,246.43727111816406
caf,2017,241.91453552246094
can,2000,0.0
can,2001,0.0
can,2002,0.0
can,2003,0.0
can,2004,0.0
can,2005,0.0
can,2006,0.0
can,2007,0.0
can,2008,0.0
can,2009,0.0
can,2010,0.0
can,2011,0.0
can,2012,0.0
can,2013,0.0
can,2014,0.0
can,2015,0.0
can,2016,0.0
can,2017,0.0
che,2000,0.0
che,2001,0.0
che,2002,0.0
che,2003,0.0
che,2004,0.0
che,2005,0.0
che,2006,0.0
che,2007,0.0
che,2008,0.0
che,2009,0.0
che,2010,0.0
che,2011,0.0
che,2012,0.0
che,2013,0.0
che,2014,0.0
che,2015,0.0
che,2016,0.0
che,2017,0.0
chl,2000,0.0
chl,2001,0.0
chl,2002,0.0
chl,2003,0.0
chl,2004,0.0
chl,2005,0.0
chl,2006,0.0
chl,2007,0.0
chl,2008,0.0
chl,2009,0.0
chl,2010,0.0
chl,2011,0.0
chl,2012,0.0
chl,2013,0.0
chl,2014,0.0
chl,2015,0.0
chl,2016,0.0
chl,2017,0.0
chn,2000,4412.86669921875
chn,2001,3484.33642578125
chn,2002,2639.825927734375
chn,2003,2034.2781982421875
chn,2004,1704.3505859375
chn,2005,1378.659423828125
chn,2006,1015.7478637695312
chn,2007,859.6240844726562
chn,2008,739.3596801757812
chn,2009,528.1713256835938
chn,2010,316.2389221191406
chn,2011,180.33993530273438
chn,2012,114.63641357421875
chn,2013,92.68428802490234
chn,2014,80.64850616455078
chn,2015,57.12328338623047
chn,2016,52.222652435302734
chn,2017,47.906349182128906
civ,2000,1041.3931884765625
civ,2001,962.4122314453125
civ,2002,917.3285522460938
civ,2003,880.6896362304688
civ,2004,839.547607421875
civ,2005,792.6724243164062
civ,2006,723.0639038085938
civ,2007,620.7192993164062
civ,2008,521.97412109375
civ,2009,475.4642028808594
civ,2010,464.75238037109375
civ,2011,468.5978698730469
civ,2012,458.7481689453125
civ,2013,434.2287902832031
civ,2014,403.47161865234375
civ,2015,370.3295593261719
civ,2016,335.3702392578125
civ,2017,335.35546875
cmr,2000,527.2882080078125
cmr,2001,480.5416259765625
cmr,2002,431.1728210449219
cmr,2003,385.9725036621094
cmr,2004,348.6043395996094
cmr,2005,319.7825927734375
cmr,2006,294.271240234375
cmr,2007,268.2375183105469
cmr,2008,240.4281768798828
cmr,2009,226.4449005126953
cmr,2010,219.39083862304688
cmr,2011,220.0264129638672
cmr,2012,208.5596466064453
cmr,2013,194.8026123046875
cmr,2014,179.9398651123047
cmr,2015,172.10546875
cmr,2016,165.7797088623047
cmr,2017,164.06288146972656
cod,2000,2982.547607421875
cod,2001,2857.51220703125
cod,2002,2645.893310546875
cod,2003,2395.221435546875
cod,2004,2180.056396484375
cod,2005,2018.0938720703125
cod,2006,1869.8939208984375
cod,2007,1670.790283203125
cod,2008,1467.4910888671875
cod,2009,1338.9241943359375
cod,2010,1330.0675048828125
cod,2011,1349.586669921875
cod,2012,1312.198486328125
cod,2013,1215.54052734375
cod,2014,1083.5660400390625
cod,2015,994.285400390625
cod,2016,925.154052734375
cod,2017,926.259033203125
cog,2000,75.83836364746094
cog,2001,69.82239532470703
cog,2002,61.81661605834961
cog,2003,53.3924446105957
cog,2004,46.44545364379883
cog,2005,40.235565185546875
cog,2006,34.73666000366211
cog,2007,30.171607971191406
cog,2008,27.043018341064453
cog,2009,24.765052795410156
cog,2010,23.176921844482422
cog,2011,21.990436553955078
cog,2012,21.079626083374023
cog,2013,20.155582427978516
cog,2014,19.16798973083496
cog,2015,18.43848991394043
cog,2016,17.668468475341797
cog,2017,17.4428653717041
cok,2000,0.0
cok,2001,0.0
cok,2002,0.0
cok,2003,0.0
cok,2004,0.0
cok,2005,0.0
cok,2006,0.0
cok,2007,0.0
cok,2008,0.0
cok,2009,0.0
cok,2010,0.0
cok,2011,0.0
cok,2012,0.0
cok,2013,0.0
cok,2014,0.0
cok,2015,0.0
cok,2016,0.0
cok,2017,0.0
col,2000,3.7229361534118652
col,2001,3.867161989212036
col,2002,5.622824192047119
col,2003,8.438517570495605
col,2004,2.834381341934204
col,2005,4.267076015472412
col,2006,2.8966264724731445
col,2007,1.4502114057540894
col,2008,2.789923667907715
col,2009,0.0
col,2010,3.2334470748901367
col,2011,0.0
col,2012,4.98305082321167
col,2013,0.0
col,2014,0.0
col,2015,0.0
col,2016,0.0
col,2017,0.0
com,2000,24.79951286315918
com,2001,21.955747604370117
com,2002,18.321775436401367
com,2003,15.908760070800781
com,2004,14.930953025817871
com,2005,14.695050239562988
com,2006,14.675317764282227
com,2007,14.56318473815918
com,2008,14.391410827636719
com,2009,13.845565795898438
com,2010,13.155290603637695
com,2011,12.3380708694458
com,2012,11.517141342163086
com,2013,10.784720420837402
com,2014,10.107230186462402
com,2015,9.409844398498535
com,2016,8.810365676879883
com,2017,8.695674896240234
cpv,2000,5.936184883117676
cpv,2001,9.567198753356934
cpv,2002,5.175095081329346
cpv,2003,3.0920350551605225
cpv,2004,2.6651570796966553
cpv,2005,3.3231658935546875
cpv,2006,2.777914047241211
cpv,2007,2.403903007507324
cpv,2008,2.2307798862457275
cpv,2009,2.2237420082092285
cpv,2010,1.388504981994629
cpv,2011,1.0998612642288208
cpv,2012,1.0534815788269043
cpv,2013,1.0004761219024658
cpv,2014,0.9408451318740845
cpv,2015,0.8812140822410583
cpv,2016,0.821583092212677
cpv,2017,0.7752034068107605
cri,2000,0.0
cri,2001,0.0
cri,2002,0.0
cri,2003,0.0
cri,2004,0.0
cri,2005,0.0
cri,2006,0.0
cri,2007,0.0
cri,2008,0.0
cri,2009,0.0
cri,2010,0.0
cri,2011,0.0
cri,2012,0.0
cri,2013,0.0
cri,2014,0.0
cri,2015,0.0
cri,2016,0.0
cri,2017,0.0
cub,2000,0.0
cub,2001,0.0
cub,2002,0.0
cub,2003,0.0
cub,2004,0.0
cub,2005,0.0
cub,2006,0.0
