country,year,nnd
blr,2017,172.99205017089844
blz,2000,86.99999237060547
blz,2001,85.00000762939453
blz,2002,82.0
blz,2003,78.0
blz,2004,73.0
blz,2005,68.00000762939453
blz,2006,63.999996185302734
blz,2007,61.99999237060547
blz,2008,63.999996185302734
blz,2009,68.0
blz,2010,72.99999237060547
blz,2011,77.0
blz,2012,80.00000762939453
blz,2013,79.99999237060547
blz,2014,80.0
blz,2015,78.0
blz,2016,76.0
blz,2017,74.0
bol,2000,7690.0
bol,2001,7472.0
bol,2002,7297.00048828125
bol,2003,7162.0
bol,2004,7025.0009765625
bol,2005,6873.0
bol,2006,6695.00146484375
bol,2007,6489.0
bol,2008,6248.0
bol,2009,6005.0
bol,2010,5800.0
bol,2011,5608.0
bol,2012,5440.9990234375
bol,2013,5290.0
bol,2014,5136.99951171875
bol,2015,5027.9990234375
bol,2016,4867.0
bol,2017,4696.99951171875
bra,2000,64863.00390625
bra,2001,60795.0
bra,2002,56830.99609375
bra,2003,53015.00390625
bra,2004,49378.0
bra,2005,46029.0
bra,2006,43022.0
bra,2007,40394.0
bra,2008,38156.0
bra,2009,36196.00390625
bra,2010,34325.99609375
bra,2011,32553.001953125
bra,2012,31058.001953125
bra,2013,29978.0
bra,2014,29057.998046875
bra,2015,27868.998046875
bra,2016,28361.0
bra,2017,24726.0
brb,2000,34.0
brb,2001,34.0
brb,2002,34.000003814697266
brb,2003,35.0
brb,2004,35.0
brb,2005,34.999996185302734
brb,2006,35.0
brb,2007,35.000003814697266
brb,2008,34.999996185302734
brb,2009,34.0
brb,2010,33.0
brb,2011,31.999998092651367
brb,2012,32.0
brb,2013,30.999998092651367
brb,2014,30.0
brb,2015,28.999998092651367
brb,2016,28.0
brb,2017,27.000001907348633
brn,2000,36.0
brn,2001,35.0
brn,2002,34.0
brn,2003,33.0
brn,2004,33.0
brn,2005,32.0
brn,2006,30.999998092651367
brn,2007,31.000001907348633
brn,2008,31.000001907348633
brn,2009,31.000001907348633
brn,2010,31.0
brn,2011,31.0
brn,2012,31.0
brn,2013,31.0
brn,2014,31.0
brn,2015,32.0
brn,2016,32.0
brn,2017,30.999998092651367
btn,2000,516.0
btn,2001,493.0
btn,2002,472.0000305175781
btn,2003,453.0000305175781
btn,2004,435.9999694824219
btn,2005,418.99993896484375
btn,2006,402.00006103515625
btn,2007,386.0
btn,2008,369.0
btn,2009,353.0
btn,2010,336.0000305175781
btn,2011,321.0
btn,2012,307.0
btn,2013,293.0000305175781
btn,2014,278.0
btn,2015,266.0
btn,2016,255.0
btn,2017,243.99996948242188
bwa,2000,1250.0
bwa,2001,1277.0
bwa,2002,1315.0001220703125
bwa,2003,1358.0001220703125
bwa,2004,1404.0001220703125
bwa,2005,1448.9998779296875
bwa,2006,1491.0
bwa,2007,1523.0
bwa,2008,1538.0
bwa,2009,1547.999755859375
bwa,2010,1550.9998779296875
bwa,2011,1543.0
bwa,2012,1531.0001220703125
bwa,2013,1507.0001220703125
bwa,2014,1477.0
bwa,2015,1439.0
bwa,2016,1395.0
bwa,2017,1346.0
caf,2000,7406.0
caf,2001,7530.0
caf,2002,7633.00048828125
caf,2003,7730.0
caf,2004,7803.0
caf,2005,7881.0
caf,2006,7927.9990234375
caf,2007,7952.0
caf,2008,7928.00048828125
caf,2009,7889.0
caf,2010,7821.00048828125
caf,2011,7716.00048828125
caf,2012,7572.9990234375
caf,2013,7444.99951171875
caf,2014,7303.0
caf,2015,7149.0
caf,2016,7022.99951171875
caf,2017,6895.00048828125
can,2000,1245.9998779296875
can,2001,1255.0
can,2002,1280.0
can,2003,1313.000244140625
can,2004,1347.000244140625
can,2005,1375.0
can,2006,1397.0
can,2007,1408.9998779296875
can,2008,1415.000244140625
can,2009,1416.0
can,2010,1414.000244140625
can,2011,1411.0
can,2012,1406.9998779296875
can,2013,1402.0001220703125
can,2014,1394.000244140625
can,2015,1382.0
can,2016,1365.0001220703125
can,2017,1342.0001220703125
che,2000,265.0000305175781
che,2001,260.0000305175781
che,2002,255.0
che,2003,249.00001525878906
che,2004,245.00003051757812
che,2005,243.0
che,2006,244.0
che,2007,246.0
che,2008,247.99998474121094
che,2009,250.00001525878906
che,2010,251.0
che,2011,252.00001525878906
che,2012,253.99998474121094
che,2013,255.99998474121094
che,2014,259.0
che,2015,262.0
che,2016,262.9999694824219
che,2017,262.9985046386719
chl,2000,1421.9998779296875
chl,2001,1330.0001220703125
chl,2002,1269.0
chl,2003,1242.0001220703125
chl,2004,1244.0001220703125
chl,2005,1265.9998779296875
chl,2006,1296.0
chl,2007,1324.9998779296875
chl,2008,1344.0
chl,2009,1347.9998779296875
chl,2010,1334.9998779296875
chl,2011,1316.0
chl,2012,1300.0001220703125
chl,2013,1289.0001220703125
chl,2014,1276.0
chl,2015,1256.0
chl,2016,1229.0
chl,2017,1196.0001220703125
chn,2000,347392.21875
chn,2001,321997.15625
chn,2002,297426.34375
chn,2003,273311.21875
chn,2004,249579.609375
chn,2005,227190.921875
chn,2006,206571.84375
chn,2007,188124.765625
chn,2008,171893.09375
chn,2009,157299.296875
chn,2010,144478.21875
chn,2011,132857.53125
chn,2012,122239.2109375
chn,2013,112064.421875
chn,2014,102642.8203125
chn,2015,93615.15625
chn,2016,85263.734375
chn,2017,77978.84375
civ,2000,30742.0
civ,2001,30748.0
civ,2002,30649.00390625
civ,2003,30492.0
civ,2004,30339.0
civ,2005,30156.0
civ,2006,30006.0
civ,2007,29856.0
civ,2008,29740.0
civ,2009,29680.00390625
civ,2010,29610.0
civ,2011,29594.0
civ,2012,29583.99609375
civ,2013,29649.00390625
civ,2014,29656.0
civ,2015,29697.0
civ,2016,29731.0
civ,2017,29743.001953125
cmr,2000,20782.0
cmr,2001,20834.001953125
cmr,2002,21033.0
cmr,2003,21397.0
cmr,2004,21863.0
cmr,2005,22351.0
cmr,2006,22726.998046875
cmr,2007,23001.994140625
cmr,2008,23123.0
cmr,2009,23103.998046875
cmr,2010,23053.0
cmr,2011,22936.0
cmr,2012,22805.0
cmr,2013,22679.00390625
cmr,2014,22494.0
cmr,2015,22316.0
cmr,2016,22179.001953125
cmr,2017,21956.998046875
cod,2000,84581.9921875
cod,2001,86095.0
cod,2002,87663.0
cod,2003,89170.0078125
cod,2004,90577.0
cod,2005,91472.9921875
cod,2006,92325.0
cod,2007,93142.0
cod,2008,93898.0
cod,2009,94551.0078125
cod,2010,95167.0
cod,2011,95837.0
cod,2012,96441.0
cod,2013,96836.0
cod,2014,97225.0
cod,2015,97832.0
cod,2016,97869.0
cod,2017,98060.0
cog,2000,3992.0
cog,2001,4055.000244140625
cog,2002,4079.00048828125
cog,2003,4070.99951171875
cog,2004,4048.0
cog,2005,4002.0
cog,2006,3946.0
cog,2007,3894.0
cog,2008,3840.0
cog,2009,3797.0
cog,2010,3764.99951171875
cog,2011,3741.0
cog,2012,3713.0
cog,2013,3674.0
cog,2014,3626.999755859375
cog,2015,3575.999755859375
cog,2016,3522.00048828125
cog,2017,3481.000244140625
cok,2000,3.999999761581421
cok,2001,3.000000238418579
cok,2002,2.999999523162842
cok,2003,3.0
cok,2004,3.0
cok,2005,1.9999998807907104
cok,2006,2.0
cok,2007,2.0
cok,2008,1.9999998807907104
cok,2009,2.0
cok,2010,2.000000238418579
cok,2011,1.9999998807907104
cok,2012,1.0
cok,2013,1.0
cok,2014,0.9999999403953552
cok,2015,1.0000001192092896
cok,2016,1.0
cok,2017,0.9999691247940063
col,2000,11423.9990234375
col,2001,11067.9990234375
col,2002,10740.9990234375
col,2003,10407.0
col,2004,10065.0
col,2005,9723.0009765625
col,2006,9359.0
col,2007,8991.0
col,2008,8628.0009765625
col,2009,8273.0
col,2010,7925.0009765625
col,2011,7586.0
col,2012,7269.0
col,2013,6962.99951171875
col,2014,6663.0009765625
col,2015,6386.00048828125
col,2016,6108.0
col,2017,5850.0009765625
com,2000,831.0
com,2001,844.0001220703125
com,2002,857.0
com,2003,872.0
com,2004,882.0
com,2005,890.9999389648438
com,2006,896.0001220703125
com,2007,899.9999389648438
com,2008,904.0
com,2009,899.0
com,2010,895.9999389648438
com,2011,895.0
com,2012,887.0
com,2013,879.0
com,2014,871.9999389648438
com,2015,859.0
com,2016,845.0001220703125
com,2017,834.0000610351562
cpv,2000,217.99998474121094
cpv,2001,199.99998474121094
cpv,2002,185.99998474121094
cpv,2003,177.99998474121094
cpv,2004,174.0
cpv,2005,173.0
cpv,2006,175.0
cpv,2007,176.0
cpv,2008,177.0
cpv,2009,175.0
cpv,2010,172.00001525878906
cpv,2011,165.99998474121094
cpv,2012,159.0
cpv,2013,151.0
cpv,2014,142.00001525878906
cpv,2015,133.00001525878906
cpv,2016,124.00000762939453
cpv,2017,116.98657989501953
cri,2000,585.0000610351562
cri,2001,557.0000610351562
cri,2002,534.0
cri,2003,516.9999389648438
cri,2004,505.0
cri,2005,499.0000305175781
cri,2006,498.0
cri,2007,499.0
cri,2008,495.9999694824219
cri,2009,489.0
cri,2010,478.0
cri,2011,468.0000305175781
cri,2012,459.0
cri,2013,450.0
cri,2014,440.0
cri,2015,429.0000305175781
cri,2016,417.0000305175781
cri,2017,405.0000305175781
cub,2000,597.0000610351562
cub,2001,576.0
cub,2002,548.0
cub,2003,512.0
cub,2004,465.0
cub,2005,419.0
cub,2006,383.9999694824219
cub,2007,365.0000305175781
cub,2008,357.0
cub,2009,353.0
cub,2010,351.0000305175781
cub,2011,344.0
cub,2012,332.0
cub,2013,318.0
cub,2014,306.0
cub,2015,295.0
cub,2016,284.0
cub,2017,272.0
cyp,2000,39.0
cyp,2001,35.999996185302734
cyp,2002,32.999996185302734
cyp,2003,30.999998092651367
cyp,2004,30.0
cyp,2005,29.0
cyp,2006,28.0
cyp,2007,28.0
cyp,2008,27.0
cyp,2009,26.0
cyp,2010,25.0
cyp,2011,24.0
cyp,2012,24.000001907348633
cyp,2013,22.999998092651367
cyp,2014,22.000001907348633
cyp,2015,22.000003814697266
cyp,2016,21.0
cyp,2017,20.0
cze,2000,238.0
cze,2001,228.0
cze,2002,224.00001525878906
cze,2003,225.00001525878906
cze,2004,227.0
cze,2005,228.0
cze,2006,225.00001525878906
cze,2007,217.0
cze,2008,207.0
cze,2009,198.0
cze,2010,190.0
cze,2011,182.0
cze,2012,176.0
cze,2013,172.00001525878906
cze,2014,171.99998474121094
cze,2015,175.0
cze,2016,179.99998474121094
cze,2017,185.99996948242188
deu,2000,2075.000244140625
deu,2001,2025.0
deu,2002,1965.9998779296875
deu,2003,1904.0001220703125
deu,2004,1854.0001220703125
deu,2005,1815.0
deu,2006,1773.0
deu,2007,1715.0001220703125
deu,2008,1651.0
deu,2009,1601.0
deu,2010,1574.9998779296875
deu,2011,1566.9998779296875
deu,2012,1567.9998779296875
deu,2013,1577.0001220703125
deu,2014,1590.0
deu,2015,1604.0
deu,2016,1613.0
deu,2017,1608.0
dji,2000,993.0001220703125
dji,2001,977.0000610351562
dji,2002,962.0
dji,2003,945.0
dji,2004,926.0
dji,2005,905.0
dji,2006,882.9999389648438
dji,2007,861.0
dji,2008,842.0000610351562
dji,2009,824.0
dji,2010,806.0000610351562
dji,2011,791.0001220703125
dji,2012,777.0
dji,2013,763.0
dji,2014,748.0
dji,2015,733.0000610351562
dji,2016,716.0
dji,2017,701.9999389648438
dma,2000,13.0
dma,2001,12.0
dma,2002,12.0
dma,2003,12.0
dma,2004,12.0
dma,2005,12.000000953674316
dma,2006,13.0
dma,2007,13.999998092651367
dma,2008,15.0
dma,2009,16.0
dma,2010,17.0
dma,2011,19.000003814697266
dma,2012,21.0
dma,2013,23.0
dma,2014,24.999998092651367
dma,2015,27.999998092651367
dma,2016,28.999996185302734
dma,2017,29.999998092651367
dnk,2000,229.0
dnk,2001,220.99998474121094
dnk,2002,214.99998474121094
dnk,2003,209.00001525878906
dnk,2004,203.99998474121094
dnk,2005,199.0
dnk,2006,192.99998474121094
dnk,2007,186.99998474121094
dnk,2008,181.0
dnk,2009,175.99998474121094
dnk,2010,173.99998474121094
dnk,2011,173.0
dnk,2012,174.0
dnk,2013,176.0
dnk,2014,179.0
dnk,2015,183.00003051757812
dnk,2016,186.0
dnk,2017,189.00001525878906
dom,2000,5090.0
dom,2001,5086.0
dom,2002,5082.0
dom,2003,5091.0
dom,2004,5102.99951171875
dom,2005,5108.0009765625
dom,2006,5107.0
dom,2007,5104.0
dom,2008,5089.00048828125
dom,2009,5063.0
dom,2010,5023.0
dom,2011,4976.99951171875
dom,2012,4910.0
dom,2013,4820.0
dom,2014,4705.0
dom,2015,4576.0
dom,2016,4434.00048828125
dom,2017,4285.9990234375
dza,2000,13036.0
dza,2001,12979.0009765625
dza,2002,13032.0
