global,year,age_group,cause,fraction_of_deaths
global,2006,post,7,0.044512029737234116
global,2007,post,7,0.044820982962846756
global,2008,post,7,0.047375649213790894
global,2009,post,7,0.043395061045885086
global,2010,post,7,0.03952072933316231
global,2011,post,7,0.038190681487321854
global,2012,post,7,0.041651297360658646
global,2013,post,7,0.038150642067193985
global,2014,post,7,0.03316383808851242
global,2015,post,7,0.03329161927103996
global,2016,post,7,0.029795756563544273
global,2017,post,7,0.032804083079099655
global,2000,post,8,0.10959821194410324
global,2001,post,8,0.11324379593133926
global,2002,post,8,0.11734367907047272
global,2003,post,8,0.11883340030908585
global,2004,post,8,0.12477515637874603
global,2005,post,8,0.12389693409204483
global,2006,post,8,0.1267513483762741
global,2007,post,8,0.12595653533935547
global,2008,post,8,0.11933010816574097
global,2009,post,8,0.11685124039649963
global,2010,post,8,0.11269507557153702
global,2011,post,8,0.10664398223161697
global,2012,post,8,0.10389341413974762
global,2013,post,8,0.09985984861850739
global,2014,post,8,0.09727273136377335
global,2015,post,8,0.09451664239168167
global,2016,post,8,0.0916091576218605
global,2017,post,8,0.09133604913949966
global,2000,post,9,0.2417922168970108
global,2001,post,9,0.2396174818277359
global,2002,post,9,0.23845669627189636
global,2003,post,9,0.23428358137607574
global,2004,post,9,0.23890474438667297
global,2005,post,9,0.23747071623802185
global,2006,post,9,0.24518920481204987
global,2007,post,9,0.24927116930484772
global,2008,post,9,0.2456192970275879
global,2009,post,9,0.2462739199399948
global,2010,post,9,0.24524737894535065
global,2011,post,9,0.24254009127616882
global,2012,post,9,0.2433076649904251
global,2013,post,9,0.23730066418647766
global,2014,post,9,0.2341296225786209
global,2015,post,9,0.2246813178062439
global,2016,post,9,0.22405903041362762
global,2017,post,9,0.2267770916223526
global,2000,post,10,0.02010824717581272
global,2001,post,10,0.020331960171461105
global,2002,post,10,0.020623181015253067
global,2003,post,10,0.020555302500724792
global,2004,post,10,0.021387502551078796
global,2005,post,10,0.021643849089741707
global,2006,post,10,0.02282167784869671
global,2007,post,10,0.023858943954110146
global,2008,post,10,0.024240311235189438
global,2009,post,10,0.02496463991701603
global,2010,post,10,0.0256174486130476
global,2011,post,10,0.026107901707291603
global,2012,post,10,0.027049021795392036
global,2013,post,10,0.02758549526333809
global,2014,post,10,0.028556158766150475
global,2015,post,10,0.029194779694080353
global,2016,post,10,0.029471665620803833
global,2017,post,10,0.029963422566652298
global,2000,post,11,0.01184217818081379
global,2001,post,11,0.012063928879797459
global,2002,post,11,0.012346383184194565
global,2003,post,11,0.012448200955986977
global,2004,post,11,0.013034624978899956
global,2005,post,11,0.01330790389329195
global,2006,post,11,0.01410415954887867
global,2007,post,11,0.01475586835294962
global,2008,post,11,0.015039926394820213
global,2009,post,11,0.01564200036227703
global,2010,post,11,0.016176216304302216
global,2011,post,11,0.0166839100420475
global,2012,post,11,0.01749296300113201
global,2013,post,11,0.018275972455739975
global,2014,post,11,0.01936429925262928
global,2015,post,11,0.020100925117731094
global,2016,post,11,0.020648138597607613
global,2017,post,11,0.02125251293182373
global,2000,post,12,2.5530116545269266e-05
global,2001,post,12,2.4020617274800315e-05
global,2002,post,12,2.732699977059383e-05
global,2003,post,12,3.289016603957862e-05
global,2004,post,12,4.2680756450863555e-05
global,2005,post,12,5.513455835171044e-05
global,2006,post,12,6.85404083924368e-05
global,2007,post,12,7.838731835363433e-05
global,2008,post,12,9.546164801577106e-05
global,2009,post,12,0.00010767352068796754
global,2010,post,12,0.00012111865362385288
global,2011,post,12,0.0001309599174419418
global,2012,post,12,0.00012370677723083645
global,2013,post,12,0.00012462672020774335
global,2014,post,12,0.00012652204895857722
global,2015,post,12,0.0001223031140398234
global,2016,post,12,0.0001177790982183069
global,2017,post,12,0.00011558565165614709
global,2000,post,13,0.09446770697832108
global,2001,post,13,0.09436649084091187
global,2002,post,13,0.09463917464017868
global,2003,post,13,0.09360060095787048
global,2004,post,13,0.09574664384126663
global,2005,post,13,0.0956999734044075
global,2006,post,13,0.09945128858089447
global,2007,post,13,0.10289110243320465
global,2008,post,13,0.10393067449331284
global,2009,post,13,0.10736790299415588
global,2010,post,13,0.11043567955493927
global,2011,post,13,0.11281061917543411
global,2012,post,13,0.11702508479356766
global,2013,post,13,0.12130285054445267
global,2014,post,13,0.12649153172969818
global,2015,post,13,0.13027752935886383
global,2016,post,13,0.13330009579658508
global,2017,post,13,0.13680773973464966
global,2000,post,15,0.04047307372093201
global,2001,post,15,0.04128650575876236
global,2002,post,15,0.04224351793527603
global,2003,post,15,0.042291972786188126
global,2004,post,15,0.044328197836875916
global,2005,post,15,0.04507332667708397
global,2006,post,15,0.04775170981884003
global,2007,post,15,0.05014588683843613
global,2008,post,15,0.05100240558385849
global,2009,post,15,0.05285315588116646
global,2010,post,15,0.05498697981238365
global,2011,post,15,0.056326065212488174
global,2012,post,15,0.05845839902758598
global,2013,post,15,0.05989972501993179
global,2014,post,15,0.06193680316209793
global,2015,post,15,0.06378772854804993
global,2016,post,15,0.06473369151353836
global,2017,post,15,0.0661638081073761
