country,year,live_births
bra,2013,3006633
bra,2014,2988029
bra,2015,2965624
bra,2016,2939562
bra,2017,2911310
brb,2000,3719
brb,2001,3675
brb,2002,3636
brb,2003,3604
brb,2004,3578
brb,2005,3558
brb,2006,3542
brb,2007,3528
brb,2008,3515
brb,2009,3501
brb,2010,3487
brb,2011,3472
brb,2012,3456
brb,2013,3440
brb,2014,3424
brb,2015,3408
brb,2016,3391
brb,2017,3375
brn,2000,7135
brn,2001,6957
brn,2002,6783
brn,2003,6622
brn,2004,6483
brn,2005,6379
brn,2006,6320
brn,2007,6306
brn,2008,6331
brn,2009,6390
brn,2010,6470
brn,2011,6557
brn,2012,6636
brn,2013,6695
brn,2014,6727
brn,2015,6730
brn,2016,6707
brn,2017,6668
btn,2000,16087
btn,2001,15846
btn,2002,15659
btn,2003,15525
btn,2004,15436
btn,2005,15375
btn,2006,15324
btn,2007,15265
btn,2008,15185
btn,2009,15082
btn,2010,14961
btn,2011,14836
btn,2012,14725
btn,2013,14638
btn,2014,14574
btn,2015,14528
btn,2016,14487
btn,2017,14438
bwa,2000,47637
bwa,2001,47519
bwa,2002,47438
bwa,2003,47435
bwa,2004,47536
bwa,2005,47782
bwa,2006,48207
bwa,2007,48796
bwa,2008,49512
bwa,2009,50314
bwa,2010,51134
bwa,2011,51892
bwa,2012,52525
bwa,2013,52987
bwa,2014,53255
bwa,2015,53332
bwa,2016,53244
bwa,2017,53055
caf,2000,150323
caf,2001,153063
caf,2002,155623
caf,2003,157982
caf,2004,160107
caf,2005,161969
caf,2006,163547
caf,2007,164853
caf,2008,165901
caf,2009,166700
caf,2010,167208
caf,2011,167369
caf,2012,167214
caf,2013,166831
caf,2014,166346
caf,2015,165958
caf,2016,165882
caf,2017,166267
can,2000,333935
can,2001,332343
can,2002,333378
can,2003,336679
can,2004,341927
can,2005,348560
can,2006,355862
can,2007,363069
can,2008,369539
can,2009,374884
can,2010,378893
can,2011,381614
can,2012,383474
can,2013,384854
can,2014,385894
can,2015,386733
can,2016,387477
can,2017,388167
che,2000,76165
che,2001,75021
che,2002,74175
che,2003,73707
che,2004,73663
che,2005,74057
che,2006,74855
che,2007,75939
che,2008,77191
che,2009,78539
che,2010,79925
che,2011,81312
che,2012,82683
che,2013,84007
che,2014,85237
che,2015,86328
che,2016,87250
che,2017,88000
chl,2000,258796
chl,2001,256323
chl,2002,254381
chl,2003,252930
chl,2004,251908
chl,2005,251162
chl,2006,250484
chl,2007,249683
chl,2008,248629
chl,2009,247284
chl,2010,245696
chl,2011,243991
chl,2012,242347
chl,2013,240898
chl,2014,239679
chl,2015,238687
chl,2016,237876
chl,2017,237142
chn,2000,16257375
chn,2001,16173671
chn,2002,16182854
chn,2003,16250522
chn,2004,16352358
chn,2005,16474295
chn,2006,16612869
chn,2007,16769507
chn,2008,16937752
chn,2009,17100081
chn,2010,17234630
chn,2011,17320998
chn,2012,17348922
chn,2013,17312311
chn,2014,17207723
chn,2015,17035167
chn,2016,16800500
chn,2017,16521467
civ,2000,677949
civ,2001,688003
civ,2002,697303
civ,2003,706253
civ,2004,715166
civ,2005,724414
civ,2006,734325
civ,2007,745049
civ,2008,756678
civ,2009,769278
