country,year,post11
are,2007,6.319061674256691
are,2008,6.65019913577229
are,2009,7.186857478454204
are,2010,7.682613500521779
are,2011,8.261246546721363
are,2012,8.704450644441675
are,2013,9.213594022746985
are,2014,9.64877485319576
are,2015,10.002679235365314
are,2016,10.319997047412464
are,2017,10.524410710900277
arg,2000,80.86447729463998
arg,2001,50.432780154579675
arg,2002,53.35986562947431
arg,2003,27.31971957840156
arg,2004,34.99825515443959
arg,2005,45.72289334611255
arg,2006,44.7599704178416
arg,2007,41.19046727897237
arg,2008,49.91616100176488
arg,2009,53.199723676606006
arg,2010,104.30583847063195
arg,2011,39.75562182752137
arg,2012,18.02807652652424
arg,2013,41.92656270095285
arg,2014,31.891701745762287
arg,2015,43.36512241496042
arg,2016,30.686161853667834
arg,2017,33.12475477156581
arm,2000,4.059275575635553
arm,2001,3.9518339969878387
arm,2002,3.798436390909421
arm,2003,3.636691065232416
arm,2004,3.4700646718248667
arm,2005,3.3016745236959917
arm,2006,3.1960516753839077
arm,2007,3.1712878618296187
arm,2008,3.2113805042769545
arm,2009,3.2894412426509234
arm,2010,4.021809948084879
arm,2011,4.95576826165977
arm,2012,4.767869937890094
arm,2013,4.576863799888493
arm,2014,4.620799021780815
arm,2015,4.589258060179354
arm,2016,4.389274027519388
arm,2017,4.063377699298126
atg,2000,0.9262436540417259
atg,2001,0.6387886503223337
atg,2002,1.0154219340457127
atg,2003,1.1652561959653465
atg,2004,1.0772145491491145
atg,2005,0.35721449307306263
atg,2006,0.0
atg,2007,0.0
atg,2008,0.0
atg,2009,0.0
atg,2010,0.0
atg,2011,0.0
atg,2012,0.0
atg,2013,0.0
atg,2014,0.0
atg,2015,0.0
atg,2016,0.0
atg,2017,0.0
aus,2000,11.502899191880857
aus,2001,7.121650309679855
aus,2002,22.339132396622173
aus,2003,9.15830273231673
aus,2004,10.439981492634882
aus,2005,11.34537924303875
aus,2006,14.24375908669089
aus,2007,7.466520784697396
aus,2008,16.982052120870396
aus,2009,7.0181004645692155
aus,2010,10.467103835386643
aus,2011,10.033643569273119
aus,2012,9.851714829904084
aus,2013,7.051479329185407
aus,2014,10.63163179331924
aus,2015,6.009837975503148
aus,2016,7.197583215320591
aus,2017,6.939373951990705
aut,2000,5.601396957113259
aut,2001,8.841439960657091
aut,2002,0.0
aut,2003,1.047008547008547
aut,2004,7.2422782258064515
aut,2005,3.7076692000949802
aut,2006,2.589611636825472
aut,2007,2.8509422554635653
aut,2008,4.981568589495418
aut,2009,5.505409509521062
aut,2010,3.4684083629531868
aut,2011,5.759223322064552
aut,2012,1.461537542751993
aut,2013,1.2770622551783117
aut,2014,3.9480519480519485
aut,2015,0.0
aut,2016,1.4761336530736302
aut,2017,0.0
aze,2000,166.0804469975657
aze,2001,147.51578225823843
aze,2002,131.13122472062105
aze,2003,118.42711723276648
aze,2004,108.581397381096
aze,2005,100.77836680328984
aze,2006,95.23199619066632
aze,2007,91.24654832288664
aze,2008,87.65219685213138
aze,2009,85.40624137853337
aze,2010,84.1123143649505
aze,2011,85.66271422025935
aze,2012,87.09946541017732
aze,2013,86.87571108448611
aze,2014,89.9999288387412
aze,2015,88.0849278319546
aze,2016,83.22756410021178
aze,2017,77.84595523111798
bdi,2000,292.18445213359547
bdi,2001,299.2870953138265
bdi,2002,307.29049879915465
bdi,2003,342.67934388266195
bdi,2004,373.3236931290587
bdi,2005,388.03369670170616
bdi,2006,415.01192092902215
bdi,2007,421.3430511180311
bdi,2008,420.98331617560075
bdi,2009,412.3562463101309
bdi,2010,407.100890130703
bdi,2011,404.2318944409867
bdi,2012,428.98103506331597
bdi,2013,411.0482269725709
bdi,2014,403.1146997516413
bdi,2015,386.53325212644853
bdi,2016,371.31227706288445
bdi,2017,361.0659759321648
bel,2000,6.105900037336482
bel,2001,5.855481476907392
bel,2002,5.756032847480683
bel,2003,6.231904859738401
bel,2004,7.184957711375753
bel,2005,1.5148866967979462
bel,2006,0.0
bel,2007,2.878350292654826
bel,2008,3.107090803643663
bel,2009,0.0
bel,2010,1.3790470961456736
bel,2011,1.5010189327674035
bel,2012,2.4244180841378045
bel,2013,6.8905595576784
bel,2014,1.5920370044850225
bel,2015,4.40032857157218
bel,2016,3.9996123563724018
bel,2017,3.872927802098163
ben,2000,402.38516297388435
