global,year,age_group,cause,death_rate
global,2016,post,7,0.6460108160972595
global,2017,post,7,0.6733276844024658
global,2000,post,8,5.033872604370117
global,2001,post,8,5.0195841789245605
global,2002,post,8,4.983709335327148
global,2003,post,8,4.890369892120361
global,2004,post,8,4.808495044708252
global,2005,post,8,4.582972049713135
global,2006,post,8,4.369601249694824
global,2007,post,8,4.071121692657471
global,2008,post,8,3.711921215057373
global,2009,post,8,3.4526610374450684
global,2010,post,8,3.1848959922790527
global,2011,post,8,2.892632246017456
global,2012,post,8,2.64725661277771
global,2013,post,8,2.445225238800049
global,2014,post,8,2.2768630981445312
global,2015,post,8,2.1257412433624268
global,2016,post,8,1.9862059354782104
global,2017,post,8,1.8747389316558838
global,2000,post,9,11.105575561523438
global,2001,post,9,10.6211576461792
global,2002,post,9,10.127507209777832
global,2003,post,9,9.641509056091309
global,2004,post,9,9.20673942565918
global,2005,post,9,8.784089088439941
global,2006,post,9,8.452604293823242
global,2007,post,9,8.056853294372559
global,2008,post,9,7.640313625335693
global,2009,post,9,7.276776313781738
global,2010,post,9,6.930980205535889
global,2011,post,9,6.578705310821533
global,2012,post,9,6.199601650238037
global,2013,post,9,5.8106794357299805
global,2014,post,9,5.480273246765137
global,2015,post,9,5.053230285644531
global,2016,post,9,4.85789155960083
global,2017,post,9,4.6547651290893555
global,2000,post,10,0.9235767722129822
global,2001,post,10,0.9012237191200256
global,2002,post,10,0.8758881688117981
global,2003,post,10,0.8459156155586243
global,2004,post,10,0.8242161273956299
global,2005,post,10,0.8006102442741394
global,2006,post,10,0.7867500185966492
global,2007,post,10,0.7711601853370667
global,2008,post,10,0.7540270090103149
global,2009,post,10,0.7376425266265869
global,2010,post,10,0.7239792943000793
global,2011,post,10,0.7081558108329773
global,2012,post,10,0.6892226934432983
global,2013,post,10,0.6754741668701172
global,2014,post,10,0.6684141159057617
global,2015,post,10,0.6566097140312195
global,2016,post,10,0.6389841437339783
global,2017,post,10,0.6150211095809937
global,2000,post,11,0.5439141392707825
global,2001,post,11,0.5347393155097961
global,2002,post,11,0.5243638753890991
global,2003,post,11,0.5122827887535095
global,2004,post,11,0.5023189783096313
global,2005,post,11,0.49226200580596924
global,2006,post,11,0.4862240254878998
global,2007,post,11,0.47693386673927307
global,2008,post,11,0.46783682703971863
global,2009,post,11,0.4621818959712982
global,2010,post,11,0.4571589231491089
global,2011,post,11,0.4525376260280609
global,2012,post,11,0.44572946429252625
global,2013,post,11,0.4475158452987671
global,2014,post,11,0.453260213136673
global,2015,post,11,0.45208296179771423
global,2016,post,11,0.4476785659790039
global,2017,post,11,0.4362233281135559
global,2000,post,12,0.0011726045049726963
global,2001,post,12,0.0010647251037880778
global,2002,post,12,0.0011606065090745687
global,2003,post,12,0.001353534171357751
global,2004,post,12,0.0016448003007099032
global,2005,post,12,0.0020394381135702133
global,2006,post,12,0.0023628484923392534
global,2007,post,12,0.002533606719225645
global,2008,post,12,0.0029694612603634596
global,2009,post,12,0.003181482432410121
global,2010,post,12,0.003422955982387066
global,2011,post,12,0.003552182810381055
global,2012,post,12,0.003152111079543829
global,2013,post,12,0.0030516807455569506
global,2014,post,12,0.002961501944810152
global,2015,post,12,0.002750677289441228
global,2016,post,12,0.002553604543209076
global,2017,post,12,0.0023724797647446394
global,2000,post,13,4.338925361633301
global,2001,post,13,4.1828389167785645
global,2002,post,13,4.019425392150879
global,2003,post,13,3.8519601821899414
global,2004,post,13,3.689815044403076
