country,year,pnd
bol,2003,10142.9990234375
bol,2004,9334.0
bol,2005,8587.0
bol,2006,7889.0
bol,2007,7258.00048828125
bol,2008,6713.0
bol,2009,6235.00048828125
bol,2010,5809.00048828125
bol,2011,5459.99951171875
bol,2012,5155.00048828125
bol,2013,4883.0
bol,2014,4652.0
bol,2015,4397.0
bol,2016,4226.0
bol,2017,4098.00048828125
bra,2000,58508.0
bra,2001,53274.00390625
bra,2002,48263.0
bra,2003,43568.0
bra,2004,39261.0
bra,2005,35354.0
bra,2006,31927.0
bra,2007,28943.998046875
bra,2008,26409.001953125
bra,2009,24384.0
bra,2010,22965.0
bra,2011,22003.001953125
bra,2012,21221.001953125
bra,2013,20322.0
bra,2014,19436.0
bra,2015,18878.0
bra,2016,19896.001953125
bra,2017,18552.0
brb,2000,23.0
brb,2001,23.0
brb,2002,23.0
brb,2003,21.999998092651367
brb,2004,22.0
brb,2005,21.0
brb,2006,20.0
brb,2007,19.000001907348633
brb,2008,18.0
brb,2009,18.0
brb,2010,18.000001907348633
brb,2011,17.0
brb,2012,16.000001907348633
brb,2013,16.0
brb,2014,16.0
brb,2015,16.0
brb,2016,15.000000953674316
brb,2017,15.000000953674316
brn,2000,50.0
brn,2001,49.0
brn,2002,48.0
brn,2003,46.0
brn,2004,44.0
brn,2005,43.000003814697266
brn,2006,41.0
brn,2007,39.000003814697266
brn,2008,38.00000762939453
brn,2009,37.000003814697266
brn,2010,37.0
brn,2011,36.999996185302734
brn,2012,38.0
brn,2013,38.999996185302734
brn,2014,39.000003814697266
brn,2015,39.0
brn,2016,39.0
brn,2017,39.0
btn,2000,769.235595703125
btn,2001,719.2398681640625
btn,2002,628.6118774414062
btn,2003,568.4022216796875
btn,2004,517.5036010742188
btn,2005,472.61053466796875
btn,2006,432.0900573730469
btn,2007,391.9999694824219
btn,2008,354.2601623535156
btn,2009,323.5687255859375
btn,2010,298.9568786621094
btn,2011,274.7713317871094
btn,2012,255.43849182128906
btn,2013,240.03228759765625
btn,2014,229.4050750732422
btn,2015,218.86526489257812
btn,2016,207.08489990234375
btn,2017,200.28253173828125
bwa,2000,3446.141357421875
bwa,2001,2834.9462890625
bwa,2002,2656.237060546875
bwa,2003,2489.917724609375
bwa,2004,2266.33154296875
bwa,2005,1938.2880859375
bwa,2006,1605.611328125
bwa,2007,1423.7515869140625
bwa,2008,1335.459716796875
bwa,2009,1206.8448486328125
bwa,2010,1014.4329833984375
bwa,2011,968.8305053710938
bwa,2012,862.8650512695312
bwa,2013,751.1796264648438
bwa,2014,739.7333984375
bwa,2015,709.8076171875
bwa,2016,688.58984375
bwa,2017,640.0
caf,2000,18798.958984375
caf,2001,18855.07421875
caf,2002,19004.623046875
caf,2003,18781.095703125
caf,2004,19509.890625
caf,2005,18699.953125
caf,2006,17688.4609375
caf,2007,17608.490234375
caf,2008,17470.166015625
caf,2009,16979.6875
caf,2010,16646.927734375
caf,2011,16994.12890625
caf,2012,15841.8203125
caf,2013,16020.6318359375
caf,2014,14811.23828125
caf,2015,14323.888671875
caf,2016,13842.2900390625
caf,2017,13329.767578125
can,2000,854.0
can,2001,810.0000610351562
can,2002,771.0000610351562
can,2003,741.0
can,2004,718.0
can,2005,704.9999389648438
can,2006,698.0000610351562
can,2007,696.9999389648438
can,2008,698.0
can,2009,699.0
can,2010,700.0000610351562
can,2011,698.0
can,2012,694.0
can,2013,688.0
can,2014,681.0
can,2015,672.0
can,2016,663.0000610351562
can,2017,652.0
che,2000,171.0
che,2001,162.0
che,2002,153.0
che,2003,146.0
che,2004,139.0
che,2005,131.0
che,2006,123.0
che,2007,117.0
che,2008,112.0
che,2009,108.0
che,2010,108.0
che,2011,108.0
che,2012,107.99999237060547
che,2013,108.99999237060547
che,2014,107.99999237060547
che,2015,107.0
che,2016,106.0
che,2017,104.00000762939453
chl,2000,1425.0001220703125
chl,2001,1319.9998779296875
chl,2002,1235.0
chl,2003,1166.0
chl,2004,1102.0
chl,2005,1040.0
chl,2006,986.0
chl,2007,946.0
chl,2008,912.9999389648438
chl,2009,872.9999389648438
chl,2010,823.9999389648438
chl,2011,777.0
chl,2012,739.9999389648438
chl,2013,708.0
chl,2014,673.0
chl,2015,635.0
chl,2016,599.0
chl,2017,571.0
chn,2000,258626.0
chn,2001,234205.03125
chn,2002,212449.0
chn,2003,193212.984375
chn,2004,177096.0
chn,2005,163621.0
chn,2006,152867.0
chn,2007,144132.015625
chn,2008,136849.0
chn,2009,130448.0
chn,2010,124128.984375
chn,2011,117748.0
chn,2012,110860.9921875
chn,2013,103997.0078125
chn,2014,97177.9921875
chn,2015,90425.0
chn,2016,83745.0
chn,2017,77489.0
civ,2000,65945.796875
civ,2001,66074.640625
civ,2002,65916.875
civ,2003,64761.1875
civ,2004,62858.7578125
civ,2005,60109.43359375
civ,2006,58019.78515625
civ,2007,57037.41015625
civ,2008,55817.78515625
civ,2009,54300.06640625
civ,2010,53675.171875
civ,2011,53166.27734375
civ,2012,51704.1328125
civ,2013,51042.046875
civ,2014,50425.4765625
civ,2015,49123.58984375
civ,2016,48199.3359375
civ,2017,47162.8515625
cmr,2000,73605.2265625
cmr,2001,75910.8046875
cmr,2002,69292.9296875
cmr,2003,68672.8671875
cmr,2004,68123.0546875
cmr,2005,67476.6796875
cmr,2006,66426.875
cmr,2007,65221.86328125
cmr,2008,63757.140625
cmr,2009,62581.84765625
cmr,2010,60460.46484375
cmr,2011,58739.3046875
cmr,2012,57012.44921875
cmr,2013,54958.59375
cmr,2014,53590.6328125
cmr,2015,52035.1328125
cmr,2016,49837.875
cmr,2017,48811.5859375
cod,2000,239153.515625
cod,2001,237478.828125
cod,2002,304813.15625
cod,2003,274745.46875
cod,2004,226640.21875
cod,2005,285518.21875
cod,2006,239104.984375
cod,2007,225929.5
cod,2008,230388.125
cod,2009,198467.140625
cod,2010,208270.859375
cod,2011,242440.21875
cod,2012,216489.65625
cod,2013,220216.09375
cod,2014,195807.5
cod,2015,200357.78125
cod,2016,233562.671875
cod,2017,189611.78125
cog,2000,10266.4716796875
cog,2001,10718.1298828125
cog,2002,11063.76171875
cog,2003,9956.748046875
cog,2004,9399.2021484375
cog,2005,8164.72412109375
cog,2006,7736.3271484375
cog,2007,7274.52734375
cog,2008,6737.9892578125
cog,2009,6446.02001953125
cog,2010,6194.85498046875
