region,year,age_group,cause,deaths
6_wpr,2015,post,16,24664.06553041139
1_afr,2015,post,16,99123.99971907391
5_emr,2015,post,16,45492.36695433548
3_sear,2015,post,16,53806.11835071531
2_amr,2016,post,16,19263.928246871645
1_afr,2016,post,16,99526.97942004743
3_sear,2016,post,16,50544.337876572834
5_emr,2016,post,16,45064.59675654757
6_wpr,2016,post,16,23368.605369917444
4_eur,2016,post,16,11361.662648295647
1_afr,2017,post,16,97826.18600259574
2_amr,2017,post,16,18544.61183596306
4_eur,2017,post,16,10868.013738619755
3_sear,2017,post,16,47792.50423682142
5_emr,2017,post,16,44784.30660790602
6_wpr,2017,post,16,22401.27964424255
5_emr,2000,post,17,44145.30443562054
6_wpr,2000,post,17,79440.30155165095
1_afr,2000,post,17,119084.1086906575
2_amr,2000,post,17,25420.081314527404
3_sear,2000,post,17,106659.27466834348
4_eur,2000,post,17,12761.18982335987
5_emr,2001,post,17,43936.07975888121
2_amr,2001,post,17,24612.27045837824
3_sear,2001,post,17,104322.3431841408
6_wpr,2001,post,17,72636.75213707164
1_afr,2001,post,17,119921.68365496429
4_eur,2001,post,17,12050.07770208347
5_emr,2002,post,17,43502.52212819856
3_sear,2002,post,17,101213.93248119694
4_eur,2002,post,17,11353.781516922914
1_afr,2002,post,17,120935.52346944645
6_wpr,2002,post,17,65643.97735668931
2_amr,2002,post,17,24033.027591650465
6_wpr,2003,post,17,59959.55079789687
4_eur,2003,post,17,10722.951192648428
3_sear,2003,post,17,98471.66302974461
1_afr,2003,post,17,120923.02412648275
5_emr,2003,post,17,43461.298464952924
2_amr,2003,post,17,22351.181033575605
4_eur,2004,post,17,10268.964748407598
5_emr,2004,post,17,43524.824187485014
6_wpr,2004,post,17,55034.69436659221
1_afr,2004,post,17,121739.72887305602
3_sear,2004,post,17,127324.85704443816
2_amr,2004,post,17,21859.277262031603
4_eur,2005,post,17,9771.594641875268
2_amr,2005,post,17,21257.53697179805
6_wpr,2005,post,17,52510.978652385886
5_emr,2005,post,17,43481.05435239622
3_sear,2005,post,17,92752.78380081401
1_afr,2005,post,17,122692.01059563943
1_afr,2006,post,17,125940.93004659239
2_amr,2006,post,17,20707.653922730948
5_emr,2006,post,17,43684.70124992263
4_eur,2006,post,17,9384.410253326463
3_sear,2006,post,17,89308.85397371878
6_wpr,2006,post,17,50567.433945817116
5_emr,2007,post,17,43901.11308321823
1_afr,2007,post,17,128608.73815592847
6_wpr,2007,post,17,48157.86789852014
2_amr,2007,post,17,19658.569494486925
3_sear,2007,post,17,85682.3686892308
4_eur,2007,post,17,8977.022168837986
5_emr,2008,post,17,44444.758770391185
6_wpr,2008,post,17,46560.57309105109
3_sear,2008,post,17,103146.5442337594
2_amr,2008,post,17,18675.909055978555
4_eur,2008,post,17,8811.16184840247
1_afr,2008,post,17,130749.11292417032
5_emr,2009,post,17,44815.705587708
1_afr,2009,post,17,134830.14421149134
6_wpr,2009,post,17,44157.42562764902
4_eur,2009,post,17,8289.649223788574
2_amr,2009,post,17,18334.352446758312
3_sear,2009,post,17,78315.88034178856
6_wpr,2010,post,17,42111.261790224235
4_eur,2010,post,17,8374.251882508823
1_afr,2010,post,17,138317.92843101174
3_sear,2010,post,17,74314.9984607606
2_amr,2010,post,17,52550.02761386868
5_emr,2010,post,17,44980.817522482306
1_afr,2011,post,17,141812.1317498506
4_eur,2011,post,17,7974.522584054207
5_emr,2011,post,17,45798.83149663413
3_sear,2011,post,17,70449.97593819682
2_amr,2011,post,17,17416.47529499761
6_wpr,2011,post,17,40923.67339060137
2_amr,2012,post,17,17044.713958715798
6_wpr,2012,post,17,38927.09063069083
5_emr,2012,post,17,46445.722506414895
3_sear,2012,post,17,66418.01970809417
1_afr,2012,post,17,143530.49565286975
4_eur,2012,post,17,7798.593223438821
1_afr,2013,post,17,147187.64711657635
5_emr,2013,post,17,48030.622932869344
2_amr,2013,post,17,16403.597825657376
4_eur,2013,post,17,7814.549364448892
3_sear,2013,post,17,63297.23246420907
6_wpr,2013,post,17,36860.501091564045
2_amr,2014,post,17,16031.182476931419
5_emr,2014,post,17,48110.46853682185
3_sear,2014,post,17,59841.84769347744
4_eur,2014,post,17,7483.289591252213
1_afr,2014,post,17,151762.04944489576
6_wpr,2014,post,17,35089.3024066098
2_amr,2015,post,17,15985.41457630843
4_eur,2015,post,17,7033.05899109036
6_wpr,2015,post,17,33936.79321404647
1_afr,2015,post,17,153629.52089728165
5_emr,2015,post,17,49662.71242516948
3_sear,2015,post,17,58378.58853941346
2_amr,2016,post,17,15625.743373752473
1_afr,2016,post,17,155059.83118962144
3_sear,2016,post,17,55465.09542158835
5_emr,2016,post,17,47663.03839853704
6_wpr,2016,post,17,31963.102343256855
4_eur,2016,post,17,6762.194999667342
1_afr,2017,post,17,152950.62912240086
2_amr,2017,post,17,15338.816757458504
4_eur,2017,post,17,6450.784938402995
3_sear,2017,post,17,52598.34696944976
5_emr,2017,post,17,46326.16552940111
6_wpr,2017,post,17,30508.51757142288
5_emr,2000,u5,2,601.6300001144409
