country,year,rpost17
bhs,2013,0.4442962110042572
bhs,2014,0.45825687050819397
bhs,2015,0.396910160779953
bhs,2016,0.38311904668807983
bhs,2017,0.362694650888443
bih,2000,0.38853132724761963
bih,2001,0.39169344305992126
bih,2002,0.3878365457057953
bih,2003,0.3925027847290039
bih,2004,0.3683550953865051
bih,2005,0.35736382007598877
bih,2006,0.32759609818458557
bih,2007,0.2979544699192047
bih,2008,0.26249396800994873
bih,2009,0.23004887998104095
bih,2010,0.20921026170253754
bih,2011,0.19725991785526276
bih,2012,0.1897641122341156
bih,2013,0.19158057868480682
bih,2014,0.19266457855701447
bih,2015,0.190988689661026
bih,2016,0.19059324264526367
bih,2017,0.1885928511619568
blr,2000,0.9406156539916992
blr,2001,0.8641745448112488
blr,2002,0.7933709621429443
blr,2003,0.7336445450782776
blr,2004,0.6986679434776306
blr,2005,0.6749762296676636
blr,2006,0.6626715660095215
blr,2007,0.6506848931312561
blr,2008,0.6174291372299194
blr,2009,0.5682038068771362
blr,2010,0.5176871418952942
blr,2011,0.4641108512878418
blr,2012,0.41018742322921753
blr,2013,0.3641180992126465
blr,2014,0.32846197485923767
blr,2015,0.3079306185245514
blr,2016,0.29084593057632446
blr,2017,0.280264288187027
blz,2000,2.4524660110473633
blz,2001,2.114812135696411
blz,2002,1.9746956825256348
blz,2003,1.8938162326812744
blz,2004,2.132028102874756
blz,2005,2.31425142288208
blz,2006,2.3150999546051025
blz,2007,2.2278242111206055
blz,2008,1.6054027080535889
blz,2009,1.4205622673034668
blz,2010,1.0112940073013306
blz,2011,0.9626830220222473
blz,2012,0.924401044845581
blz,2013,1.1229426860809326
blz,2014,0.9664289951324463
blz,2015,0.997573971748352
blz,2016,0.858229398727417
blz,2017,0.973995566368103
bol,2000,4.430914878845215
bol,2001,4.320795059204102
bol,2002,4.154531955718994
bol,2003,3.9354641437530518
bol,2004,3.7102904319763184
bol,2005,3.499966859817505
bol,2006,3.296128034591675
bol,2007,3.1078624725341797
bol,2008,2.9993529319763184
bol,2009,2.8763701915740967
bol,2010,2.752168655395508
bol,2011,2.63350248336792
bol,2012,2.5203840732574463
bol,2013,2.4076852798461914
bol,2014,2.4544100761413574
bol,2015,2.4162027835845947
bol,2016,2.345597267150879
bol,2017,2.2778656482696533
bra,2000,1.4939799308776855
bra,2001,1.3716017007827759
bra,2002,1.3694088459014893
bra,2003,1.2398260831832886
bra,2004,1.2212399244308472
bra,2005,1.1590174436569214
bra,2006,1.040832281112671
bra,2007,1.0744189023971558
bra,2008,0.9869703054428101
bra,2009,0.9391466379165649
bra,2010,0.9227868318557739
bra,2011,0.8938957452774048
bra,2012,0.8847192525863647
bra,2013,0.860589861869812
bra,2014,0.8156165480613708
bra,2015,0.833340048789978
bra,2016,0.860058605670929
bra,2017,0.8143799901008606
brb,2000,0.6455811262130737
brb,2001,0.6760295629501343
brb,2002,1.0738459825515747
brb,2003,1.0061590671539307
brb,2004,1.0418448448181152
brb,2005,0.5460526943206787
brb,2006,0.5819870233535767
brb,2007,0.33659300208091736
brb,2008,0.4514048993587494
brb,2009,0.1224140077829361
brb,2010,0.35100799798965454
brb,2011,0.6414955854415894
brb,2012,0.8328753113746643
brb,2013,0.9098739624023438
brb,2014,0.7709493637084961
brb,2015,0.8488641977310181
brb,2016,0.7997998595237732
brb,2017,0.8035914897918701
brn,2000,1.3970974683761597
brn,2001,1.1373300552368164
brn,2002,0.9376422166824341
brn,2003,1.1276944875717163
brn,2004,1.252562165260315
brn,2005,1.3596115112304688
brn,2006,1.1673606634140015
brn,2007,1.1700208187103271
brn,2008,0.859359860420227
brn,2009,0.6198707222938538
brn,2010,0.5892782807350159
brn,2011,0.4363516569137573
brn,2012,0.5914153456687927
brn,2013,0.3585389256477356
brn,2014,0.5477586984634399
brn,2015,0.30605828762054443
brn,2016,0.3524690866470337
brn,2017,0.15445202589035034
btn,2000,4.438776969909668
btn,2001,4.198573112487793
btn,2002,3.957301616668701
btn,2003,3.7068824768066406
btn,2004,3.462139129638672
btn,2005,3.235980749130249
btn,2006,3.026869058609009
btn,2007,2.880072593688965
btn,2008,2.656184673309326
btn,2009,2.479642868041992
btn,2010,2.3675696849823
btn,2011,2.2774455547332764
btn,2012,2.2353713512420654
btn,2013,2.1835591793060303
btn,2014,2.141608238220215
btn,2015,2.064638376235962
btn,2016,1.9845467805862427
btn,2017,1.930151343345642
bwa,2000,0.9622924327850342
bwa,2001,1.026185154914856
bwa,2002,1.0792791843414307
bwa,2003,1.1267412900924683
bwa,2004,1.169657588005066
bwa,2005,1.2085380554199219
bwa,2006,1.2341327667236328
bwa,2007,1.244401454925537
bwa,2008,1.2395964860916138
bwa,2009,1.241900086402893
bwa,2010,1.2418239116668701
bwa,2011,1.2563353776931763
bwa,2012,1.3422324657440186
bwa,2013,1.366342306137085
bwa,2014,1.3775379657745361
bwa,2015,1.3763093948364258
bwa,2016,1.3487650156021118
bwa,2017,1.3534324169158936
caf,2000,3.6395082473754883
caf,2001,3.5631051063537598
caf,2002,3.534740447998047
caf,2003,3.3849573135375977
caf,2004,3.2346115112304688
caf,2005,3.054277181625366
caf,2006,3.08784818649292
caf,2007,3.1588683128356934
caf,2008,3.2691593170166016
caf,2009,3.598923921585083
caf,2010,3.895000457763672
caf,2011,4.199549674987793
caf,2012,4.472550868988037
caf,2013,4.6596999168396
caf,2014,4.888032913208008
caf,2015,4.973287105560303
caf,2016,4.9914703369140625
caf,2017,4.953198432922363
can,2000,0.4454061686992645
can,2001,0.47006213665008545
can,2002,0.46194735169410706
can,2003,0.37684711813926697
can,2004,0.3496975004673004
can,2005,0.3467560112476349
can,2006,0.3303532600402832
can,2007,0.3297644257545471
can,2008,0.27898383140563965
can,2009,0.26596131920814514
can,2010,0.3623008728027344
can,2011,0.3027101159095764
can,2012,0.3264690637588501
can,2013,0.31627020239830017
can,2014,0.3122086524963379
can,2015,0.307414174079895
can,2016,0.30271464586257935
can,2017,0.29716306924819946
che,2000,0.44380390644073486
che,2001,0.314911812543869
che,2002,0.3241369426250458
che,2003,0.35592785477638245
che,2004,0.2450612634420395
che,2005,0.3240746855735779
che,2006,0.32346001267433167
che,2007,0.23385781049728394
che,2008,0.2072780579328537
che,2009,0.29088929295539856
che,2010,0.15646247565746307
che,2011,0.06929828971624374
che,2012,0.23991309106349945
che,2013,0.22897250950336456
che,2014,0.1599196046590805
che,2015,0.12092281132936478
che,2016,0.16208592057228088
che,2017,0.15767234563827515
chl,2000,1.0634242296218872
chl,2001,0.7232372760772705
chl,2002,0.6423179507255554
