region,year,age_group,cause,death_rate
2_amr,2016,neo,3,0.007570828311145306
1_afr,2016,neo,3,0.1564542055130005
3_sear,2016,neo,3,0.1465279459953308
5_emr,2016,neo,3,0.2656257748603821
6_wpr,2016,neo,3,0.028174474835395813
4_eur,2016,neo,3,0.004692057613283396
1_afr,2017,neo,3,0.15322837233543396
2_amr,2017,neo,3,0.0073942639864981174
4_eur,2017,neo,3,0.004481044132262468
3_sear,2017,neo,3,0.1408536434173584
5_emr,2017,neo,3,0.2608044743537903
6_wpr,2017,neo,3,0.026784133166074753
5_emr,2000,neo,5,3.1533641815185547
6_wpr,2000,neo,5,0.2369011640548706
1_afr,2000,neo,5,2.0406992435455322
2_amr,2000,neo,5,0.039831314235925674
3_sear,2000,neo,5,1.6343680620193481
4_eur,2000,neo,5,0.0396859273314476
5_emr,2001,neo,5,2.7298145294189453
2_amr,2001,neo,5,0.04024781286716461
3_sear,2001,neo,5,1.4469271898269653
6_wpr,2001,neo,5,0.19273774325847626
1_afr,2001,neo,5,1.8259761333465576
4_eur,2001,neo,5,0.03432780131697655
5_emr,2002,neo,5,2.361238718032837
3_sear,2002,neo,5,1.2787600755691528
4_eur,2002,neo,5,0.02981984242796898
1_afr,2002,neo,5,1.6057868003845215
6_wpr,2002,neo,5,0.15250569581985474
2_amr,2002,neo,5,0.03548102080821991
6_wpr,2003,neo,5,0.12264891713857651
4_eur,2003,neo,5,0.025940390303730965
3_sear,2003,neo,5,1.1277105808258057
1_afr,2003,neo,5,1.3988988399505615
5_emr,2003,neo,5,1.999325156211853
2_amr,2003,neo,5,0.033843789249658585
4_eur,2004,neo,5,0.02278098650276661
5_emr,2004,neo,5,1.649532675743103
6_wpr,2004,neo,5,0.10547830909490585
1_afr,2004,neo,5,1.2093243598937988
3_sear,2004,neo,5,0.991519570350647
2_amr,2004,neo,5,0.030736980959773064
4_eur,2005,neo,5,0.02018856443464756
2_amr,2005,neo,5,0.02948317490518093
6_wpr,2005,neo,5,0.09163486957550049
5_emr,2005,neo,5,1.4208341836929321
3_sear,2005,neo,5,0.8682823181152344
1_afr,2005,neo,5,1.0540202856063843
1_afr,2006,neo,5,0.9246788024902344
2_amr,2006,neo,5,0.027263199910521507
5_emr,2006,neo,5,1.2882742881774902
4_eur,2006,neo,5,0.017999690026044846
3_sear,2006,neo,5,0.7578474879264832
6_wpr,2006,neo,5,0.0756494551897049
5_emr,2007,neo,5,1.1967754364013672
1_afr,2007,neo,5,0.8105191588401794
6_wpr,2007,neo,5,0.06746579706668854
2_amr,2007,neo,5,0.025367794558405876
3_sear,2007,neo,5,0.6593213677406311
4_eur,2007,neo,5,0.01611795462667942
5_emr,2008,neo,5,1.1038215160369873
6_wpr,2008,neo,5,0.06044363975524902
3_sear,2008,neo,5,0.5717868804931641
2_amr,2008,neo,5,0.0238809697329998
4_eur,2008,neo,5,0.01455722190439701
1_afr,2008,neo,5,0.711785614490509
5_emr,2009,neo,5,1.0346264839172363
1_afr,2009,neo,5,0.6351527571678162
6_wpr,2009,neo,5,0.047582123428583145
4_eur,2009,neo,5,0.013123417273163795
2_amr,2009,neo,5,0.022285420447587967
